新しくアカウントを作ったので良かったらフォローしてください○
あ、無言フォローすみません…🐑💭
@1108wei  わ〜フォロバもリプもありがとうございます🙋💕 これからよろしくお願いします👍 島根…遠いですね(ﾉ*ﾟｰﾟ)ﾉ
@nightsky1118  リプにフォロバにありがとうございます😊🌟これからよろしくお願いします！！
@dream_room529  フォロバありがとうございます🐑🌟 結構前から宇大のガイダンスのアカウント見て気になってたのでフォロバ嬉しいです〜😭💕よろしくお願いします◎
@forrookies  こちらこそフォロバありがとうございます◎そうです〜〜〜
@disneydream0625  こちらこそフォロバありがとうございます😊💫 よろしくお願いします◎
@forrookies  農学です🐑🐐🐈🐕 学科はカギ掛けてないのでちょっと…w
@kotot_17  フォロバありがとうございます🌟 なんか画像見ていいな〜って思いました！周りの人結構進路決まってたりするんですか⁇(*°o°*)
センター終わったから 部屋の掃除したい…w
@dream_room529  2月14日のやつですか(ﾉ*ﾟｰﾟ)ﾉ⁇ 行く予定です😊💭
@disneydream0625  妹に部屋がナウシカ化してると言われそろそろまずいな…と∑(・∀・；)w
@dream_room529  その時にたくさん友達作らなきゃ〜って思いでいっぱいです(´・ω・｀)w あの交流会って全学部参加だとスゴい人数になりそうですよね…( ˙o˙ )
@forrookies  すいません、私の周りまだ受験生なので💭  PCってどこのが多いとかありますか( ˙o˙ )？あと、スペックの目安とかありませんか？
@pippipipi0422  こちらこそフォロバありがとう👍🌟 これからよろしく◎
@dream_room529  推薦生が200人ぐらいだから、150人ぐらいは来そうですね(ﾉ*ﾟｰﾟ)ﾉ もし会ったらよろしくお願いします◎w
@knxxpq  こちらこそフォローありがとう😊💕 これからよろしくお願いしまス🌟
@forrookies  ありがとうございます( ^ω^ )‼︎ やっぱ生協のが多いんですね〜( *˙0˙*) あ…生協のパソコンで容量足りてますか( ˙o˙ )⁉︎ あと、生協でソフトだけって売ってたりしませんか(´・ω・｀)⁇  質問ばっかりすいません( ´△｀)
TOEICの教材、頼むか迷う〜 買った人いるのかな〜 みんなどうしてるんだ…
@tay13_99  そうなんですよ‼︎謎に高いですよね…(￣ー￣)w英語の先生には1回解いてから自分に合いそうなのを探してみたらって言われました(´・ω・｀)
@tay13_99  やっぱりそうなりますよね( ´△｀)w もし良さそうなのあったら教えてください(ﾉ*ﾟｰﾟ)ﾉ今月中に買えるように頑張りますw
@pippipipi0422  なんかその意見聞いて安心した😊💭 たっかいよね…マーク式なのに添削とかあるし💬私も自分で買ってみようかな
@forrookies  丁寧にありがとうございます😳💫 だいたいどんな感じで買うのか考えられました〜！ 普通にソフト揃えると大変なので有難い情報です😊🌟 また質問あったら聞かせてください◎
やりたいことたくさん〜〜 サークル悩む〜〜
全然居なかったのに、昨日の疲労感ヤバい…
JOYとDAMの差がありすぎ…w
@uu_soft  ありがとうございます( *˙0˙*)‼︎ 初心者ではないので試合出たいな〜と考えてました…😅💭 スポーツ大会ってサークルとか同好会ごとの出場だったんですね😳
スポーツしたいいいい！ 走り周りたいけど、課題終わってない…(´・ω・｀)
まだかな〜まだかな〜 ってしてる間に寝てて 気づいたらアサ。
宇都宮駅のチャリ置き予約しに行った〜 東2のおじさんいいな😊👍 東1空かないかな〜 隣の人タバコ臭キツイ😭💬
西口の三階建てチャリ置きともおさらばか〜 3年間ありがとうだな💓
@udaiguidancer  なるほどありがとうございます！ やっぱり競技人口少ないと何個もはないですよね😭💭 はい、スポーツ系のサークル1つは入りたいと思ってます🏃💨
@pippipipi0422  白楊とか宇大の一般はまだだから大丈夫だろう〜って思ってたら、意外と多くてビックリした😭💬 野ざらしイヤだな〜〜💭💭💭 多すぎだよね…
@pippipipi0422  たしかに‼︎私サビちゃったり劣化したりすることばっかり心配してたけど、カゴとかが曲がっちゃうこともあるね😳💭 今、駅西使ってるからそのまま西から行くか迷う💬💬
やっと英語の翻訳終わった… もうこの課題キライ😭💭 ショクブンカ〜💤💤💤
明日の帰りに提出してくるか🏃💨
真夜中の宇大怖い… なんであんなに人いるんだ‼︎ 奇声も聞こえるし💭💭💭
@mamiuver  こちらこそフォロバありがとうございます😊💕 作新ですか( *˙0˙*)⁇トプ画の右の子、小中一緒でもしかしたらそうかな〜って🏫
@mamiuver  あ〜よかった！間違ってたらどうしようかと…w よろしく〜👍🌟
@mamiuver  農経だよ〜🐏🐄 どこの科なの😳⁇
もはや開き直って鍵ナシでいいや〜
@mamiuver  農学部だったのか〜😊💓 勝手に親近感🏃💨
15.02.03  #ビニールハウス の上で日向ぼっこ #猫 http://t.co/WFtWtfC6bD
@pippipipi0422  ぜひぜひ😊💕 なんて名前⁇私もフォローしたい🌟
@pippipipi0422  ありがとう😊💕
オナカヘツタ。
@h_yz82  これって福島のホッケーチームなの❄️？
@h_yz82  ちゃんとした試合見たことなかったけど、意外と観客いるんだね😊👍🌟 え、青森まで行ってきたの〜😳⁉️
曜日感覚ないデス💫💫💫
@h_yz82  公式戦かなんかだったの⁇ ビックリした〜😅💭ホームって本拠地リンクのことじゃなかったのか〜！w
かわいい人なにかとおトクで うらやましい〜(´・ω・｀)
@nana0710mi  フォローありがとう〜😊💕 同じ学科〜😭💫💫💫
@nana0710mi  うん、こちらこそよろしく😊🌟
@nana0710mi  行くよ〜😇行く？？ あ、タメ口で大丈夫ですよ◎
@nana0710mi  私も〜(ノv`*) 少ないし女子貴重💫💫💫 緊張してて面接前の部屋にいた人全然覚えてないし…w
@nana0710mi  そうだよ〜😊 どっちだった？？
@nana0710mi  そういえば、専門の方が女子多かったよね👧 イマイチ普通の教科って英語以外なにするのかわからないw
@nana0710mi  ヤバい、TOEICの本買ったままでなんもしてない📕 やろう！今からでも遅くないはずw
@nana0710mi  本屋さんで本棚とにらめっこして買ったよ〜😊💎 私英語苦手だからやらないと…w 課題って英語の翻訳と読書感想文だった？？
早くパソコン買いたい〜 迷う…
顔を公開してないと あ！この人Twitterの□□□だ！ ってならない。 つまり、悲しいw
@ri__hun  こちらこそフォロバありがとうございます😊💕 よろしくお願いしまス〜
@dream_room529  ね〜！悲しいよね(´・ω・｀) セーラームーンのグッズ持ってったりしないの🌙⁇
@0924moto  こちらこそありがとう😊💓 よろしくお願いします〜🌟
