@__wai おめでとうございます！これでコレクションしほうだい、コラボし放題ですー！
@Takiko_na 普段はおっとりなんですけどねぇ…忙しいって前聞いたとき言ってたし、心中お察しします。
先ほど届きましたー、どうもありがとうっ！！ @yuki_kona http://t.co/qvv0l6TM
機種変しませんか？ってまだ半年しか使ってないよー！と思ったけどよく見ると母の携帯宛のお知らせでした。しかしおすすめ機種が3つ記入されてるんだけど全部スマホ。オススメってとはいえ、50越えた母にスマホ使わせる気ですかドコモさんよ… http://t.co/OYyN98R5
本日の晩御飯 味噌焼きうどんのタレカツ丼 http://t.co/LquY54BY
@FUKU_puku 私も今調べてみましたが、恐らくおもいっきり医家向けの商品なんだと思います。通常の医薬品を卸している問屋さんで扱っていれば調剤薬局などでも手に入ると思いますが、調剤薬局で手に入るということは通販でも流通ルートがある商品ということになります。つづく
@FUKU_puku つづき　私もググってみましたがやはり通販のページとかは見つけることが出来なかったので、調剤薬局など専門的な場所でも恐らく流通していないと思います。病院に直接聞いてみるしかないのかもしれません。お力になれずに申し訳ございません。
久しぶりにじゃんりゅーもんやったら結構面白いなぁ、時間が経つの早いやー
@Takiko_na カラダ壊さなきゃいいのですが…すごく心配です…今度あったときゲッソリしてなきゃいいのですがー。これから年末だし、もっと大変かも知れませんね。。。早く募集来るといいですね！
うわ、２１日旭川暴風雪っていう予報が出てるよ…＼(^o^)／ｵﾜﾀ
投げないでいでください http://t.co/QkBNtAE7
@Dio_Dieu_Deus ですねw
うおおおおお！旭川の２１日の天気が暴風雪から雪に変わってるー！もっと良くなってくれー！
@karupin2 ありがとおおおおおおお
うおおおおお！マジっすかああああああ！美唄山で雪雲受け止めてくれええええええええRT @yrntrlmnmnt: 暴風雪こっち来たー！at 札幌 RT  うおおおおお！旭川の２１日の天気が暴風雪から雪に変わってるー！もっと良くなってくれー！
@Dio_Dieu_Deus 赤信号が黄色信号に変わったみたいな感じですねー
@Dio_Dieu_Deus ですねー！
今日はここでお休みしたいと思います。起床予定時間:8時半。 http://t.co/e5a3yihB
エアドゥ便が先に到着するんだけど、除雪が終わってから到着らしい。
エアドゥの座席が1つ足りなくて、昼の便に変更してくれる人を募集なんだって。協力金は1万円らしい。普通決められた席数しか販売しないんじゃないのかぁー
@__wai だいじょーぶふぇす！
@Dio_Dieu_Deus 遅れだけだといいですねー
これで45分まで除雪して、それから着陸。だいじょうぶそうだねー http://t.co/atKeqtX5
@jalrac そうなんですか！知りませんでしたー、勉強になります。ありがとうです！
@bee_drive ありがとうございます♪
エアドゥ着陸した
おおーっ！詳しいご説明ありがとです！RT @cygnus003:予約のキャンセルや当日遅刻してくる客が居るもんだから航空会社は満席+αの予約を受け付けます。今日みたいなケースをフレックストラベラー制度と言いまして、これが最終便ならホテル代と２万円と次の日の便という特典があります。
晴れてきた！天は俺に味方をしてきたぜ！！（厨二病的な） http://t.co/pROBzLxG
@Dio_Dieu_Deus おk
恒例の遅れきたー いまのところ10分
よし出発だ！！ http://t.co/Kz4dgEfh
無事到着！天気良すぎ！！ http://t.co/noWlCsx1
VIP http://t.co/FbfJgiZM
神様とデーブーの素 ホットドッグ http://t.co/B0yHoLSn
ベギラゴン！！ http://t.co/KK7o1fVA
ライアンのハイボールジンジャーとスライム肉まんとギガンテスのこん棒。しめて2000Gなり http://t.co/tNZFRUvV
@sdora_tweet なんかこの界隈だけ物価おかしいです。中身は普通の肉ry
角田さんと飲み！！ http://t.co/YR73kGDf
こちらに泊まることにしました。おやすみなさい http://t.co/GqwIRd4K
