あか中2年山内彩花です！ フォローよろしくお願いします
女てにお疲れ様です笑 最高に寒かったね😂
@ayapeco0222 準優勝！！ふぁいと👍👍  いろいろと、ありがとね💗
@mrnxskri わたしも女子力向上しなきゃだわ😤笑 男子に、女子力ないねって言われてしもうた😱😱😱
今日、恩ちゃんの部屋いった笑  まさかの2年一人とか悲しすぎたわ😱  明日も行くから、暇なひと恩ちゃんの部屋来てわたしと勉強しよwwww
@Gf11Lv @lzue_m え、まじで✋ 二人とも来てよ笑 一年の冷たい視線が怖いよー😱
やっと14歳だだだだた👐  みんなに追いついた笑
@yVvaUzY79fbluue  ありがととと👈  これからもよろしくねん🙌
@yVvaUzY79fbluue   Oh!!nooooo 🐽
RT @JSB_24eg: 山内ーーーーあーやっか💕 ❤︎HappyBirthDay❤︎ 絶対BP Alina行くぜぃ💕 楽しみにしてるぜぃ👍 また遊ぼうね！トラステとか行こ！！ http://t.co/GoLI7RJluL
@ayapeco0222  そうなの👈笑
@Haru1113rk  ありがと💓 はるかかか！笑
@lzue_m  ありがとんこつ💗
@asami_73114  さんきゅーーーー✋ これからも、よろしくね！
@Uji98218489Uji  岩崎の方が年下だろ👈
@Noboru1014  おお！のぼ笑 さんきゅーーー✋
@Uji98218489Uji  嘘つくなよwwww
@jw_momo07  ありがと💓💓💓
@Noboru1014  そもそも、あんま話したことないからな笑
@Noboru1014 うん笑 てか、のぼのlineしらなあ
@Noboru1014 知らないね笑
@asami_73114   あやかちゃんwwwww あさみのときもね！了解👐
@kk0014053632 ありがとー！
@Noboru1014 お、おう笑 ほすぃー
@G_0719_gmw  どーもどーも笑 ｱﾘｶﾞﾄｰｺﾞｻﾞｲﾏｰｽ✌
RT @G_0719_gmw: @ayapeco0222  ｵﾒﾃﾞﾄｳ(＾▽＾)ｺﾞｻﾞｲﾏｰｽ
@Noboru1014 おう
@asami_73114 してして✋
テスト終わったから、本当に暇⬅  つら笑
@lzue_m まじあそぼー笑
@lzue_m   本気にしちゃうよ？wwww
@hayaklikeaaa  かわいー💗
@hayaklikeaaa  うん笑めちゃめちゃ💓
今日、沖見さまに誕プレもらった🙌💞 優衣らしい可愛いセレクトで👈 大切に使わせていただきます笑  あと、先日鈴木さまにも誕プレもらったよ笑 わたしの前髪ちゃんのこと考えて、可愛いキティちゃんのピン止めもらった👐 前髪ちゃんが 桃子のこと愛してるっていってるー ! ! !
めっちゃ長文になってしもうたo( ﾟДﾟ)o
\  +*先輩の三送会was*+ /  楽しかった 笑 とにかく、ずっと笑ってた 👈  先輩方今までありがとうございました✨
@jw_momo07   あれは、やばい笑 面白すぎたww
@jw_momo07   いや、前髪がいってるから笑
@shinon_atsuko  のん✨ フォローさんきゅ
@FlowerMamnami  黒木💓💓
@shinon_atsuko  うん✨ よろよろー！！
@urataro0502  小ゼミ ? 湘ゼミじゃなくて ? ?(笑)
@FlowerMamnami   ↑↑興奮してる黒木💓  いい感じだべ笑
@urataro0502  どんなミス(笑) さすがっすね
@urataro0502  よっしゃ(笑) てことは、普段完璧ってことかww
@MusicMakina  それな！！！(笑)
@urataro0502  完璧主義か✋ かっこよwww
また☔で試合中止だよOMG👐 四回連続とかおい←  ♪雨さんさんとぉぉぉおおお~
@yuisara78  変なところ押してしまええええ👹
@yVvaUzY79fbluue 多分(笑)
@yuisara78 沖見Twitterでもキチガイであったとさ👐おしまい
@JSB24eg おおおおみくん？笑
@yuisara78  完璧キ チ ガ イ 💬 ある意味perfectだからすごいよ(笑)
@JSB24eg  さすが👏大樹くんハートのサングラスかけないかなwww
@JSB24eg かっこよいでしょ(笑)
@yuisara78  冗談じゃないな(笑) 事実【real】
@JSB24eg 妹がべつの録画見てるnow 終わったら見るわ💓💓
@ManamiFlower  チキン南蛮！！！
@JSB24eg 見てしまった😭😭😭 かわいすぎだよおい(笑)
@FlowerMamnami  ほんとなんなの(笑) サングラス迷ってる事件。
@FlowerMamnami  今市先輩とかとか👐
@JSB24eg  あれは、何回も見ちゃうでしょ💃💃💃
@yuisara78  事実の反対語ってなんですのん👐 ラッスンゴレライじゃね？
@FlowerMamnami  後ろから参戦てつや！！
桃子と“ヒロイン失格”見に行く💃 今から楽しみだわ👐
@ayapeco0222  山崎ーーーーーーだな(笑)
@jw_momo07  ザキヤマね(笑) 千葉くんもなんか映画⏪
@yuisara78  今の、めっちゃ面白かったやん(笑)
@JSB24eg  わたし、メンディーになりたいわ(笑) #願望
@FlowerMamnami  それな (笑)
@nAyuV6  なゆ先輩に会えなくなるなんて悲しすぎる😭😭😭
@yuisara78  え笑 くそ自信作だったんですけどー👐
@nAyuV6  来てください ! ! 待ってますよん👐
@JSB24eg  とりあえず、可愛い(笑)
@zakiyama_shunko   舜 ? ?(笑)
@yuisara78  現実逃避👐
@JSB24eg  大好きほんと(笑) 愛してるよ💟
@STRM_0410AB  え(笑)わたしじゃダメかしら？  とか言ってみる
