@ayuchan89 新しいアカウントつくったんやけど、フォローできん( ；´Д｀)
@taaaya_chan いつでもおいで(^O^)／
@ryota1995berwic うそぢゃろそれ（笑）
東京家どこにしよー♪(´ε｀ )
久しぶりにしーすーくうたわぁ。デブまっしぐら。広島帰って三キロ位太りました@(・●・)@
@aya19annie かわいくないよ自分ではぶてるとかいうてみても（笑）
@aya19annie てか東京（笑）
@aya19annie 自分から希望だしたんやけどね（笑）遊びにおいで(^O^)／
@makiron_ojaru やるやん（笑）
@aya19annie 第二希望でね東京出したわけさ（笑）
@aya19annie いや、東京希望がほかにおらんかったんや（笑）
@aya19annie そうなんよ（笑） 結局大阪は募集なくてだれもいかれずみたいな（笑）
@makiron_ojaru 女子？ん？Σ（・□・；）
@aya19annie ぢゃろー(^O^)／
@makiron_ojaru そこ以外に突っ込むとこありました？（笑）ほんなら今度対決してみよか(^O^)／
@aya19annie welcome anytime!
@makiron_ojaru いや、ちゃうやん（笑）そっちちゃうやん（笑）
@charameganeluv 宿泊費とるよ（笑）
@charameganeluv とりあえずの家賃一ヶ月分？（笑）
あれ？おれのスマ歩だけ？メールおくれないΣ（・□・；）
なんでやろなー、メール来るのにSMSからメール送れん（笑）
西葛西にはすみたく無いぞ！GM！いらんこというなや（笑）
頼むから神田ー！
物件辺ぴなとこになるかも！くそ！なんで東京があかんの？糞企業め！
@yasuko_baoty そうなる可能性ありヽ(；▽；)ノ
@yukapin6 フォローできんけど？ヽ(；▽；)ノ
とりあえずはやくよるご飯たべてねたい！
@charameganeluv いや、やめときます（笑）
@charameganeluv なんでも（笑）
@Chammysan 表現の仕方（笑）
今日も一日がんばりましょー！
@taaaya_chan 羨ましいくらい充実しよる（笑）
なかなかねー、物件きめるのむずかしいねーヽ(；▽；)ノ
物件家賃9万までか！なんか勘違いして11万くらいの借りようとしよった（笑）んーなかなか難しい（笑）
家決まらん（笑）
@ayuchan89 まだ。五月7日から(^O^)／
@aya19annie 値段交渉中（笑）
@ayuchan89 ほんまにヽ(；▽；)ノてつだって（笑）
@makiron_ojaru 泊めてー（笑）
@makiron_ojaru いや、東京にしといて（笑）
@makiron_ojaru ほんまに（笑）家賃高すぎてみつからん（笑）
@makiron_ojaru なかなか高いな（笑）むしろ恵比寿で10万？（笑）
@makiron_ojaru 若干の距離どころか（笑）田舎では20分歩くのは普通なんやな（笑）
@makiron_ojaru いや、そこは徒歩10分以内を目指すおれにとってはありえん！（笑）
