@alohameke あ゛、いいなぁ。
@_ayumu 服破損って(°∇°;)？！なんということでしょう。。。
あと2日。ガス抜きのアイスコーヒー中。もすこしの踏ん張りっ。
久々のまったり・・・
@_ayumu あら(σ･∀･)σ私もデラウェアだけど葡萄食べてるところよ。葡萄美味しいよね〜。
@_ayumu そうなんだ〜？！＞実ができる順番 いい親戚がいてうらやましいわ〜(^o^)
@_ayumu あはははは(^▽^)〜バラしてるね！＞づら
さむいんだけどー。。。
笑点で座布団運びをする真矢みきがかわいい・・・(〃▽〃)
男子:フェデラー 女子:ヴォズニアッキ RT @smash_monthly 全米OPテニス優勝者予想 #月刊スマッシュ
こっち（宮城）の朝日新聞にも広告発見しました！乙女天秤の見慣れた抜粋・・・どっちも持ってます(^^)v @ishiiyukari 12星座本
くたくた・・・
@tetsuo14 お誕生日おめでとうございますヾ(^▽^)ﾉ。私も9月生まれなので勝手に中西さんへ親近感持ってました(笑)。体を気をつけてますますご活躍されて下さい！応援しています！
@_ayumu いってらっさ〜い(^▽^)/~~
昨日3週間ぶりのテニス。2レッスン連続受講をVAAM飲んで元気に乗り切り、一晩寝てほどよい疲れ(*'-')＆体重減に成功♪。で、今日もテニスだったり( ´艸｀)(笑)
もちろん、今日はあの日から半年なの、忘れてないよ。
ありゃ。通り雨で足止め喰らう(T_T)
@alohameke 結局半分ぬれて帰りました(^^;)
@_ayumu おはよう！神戸、いいなぁ〜(*'-')
@_ayumu 世界一の朝食？！いきなりパンチあるなぁ(笑)。神戸いいよね。いろいろ楽しんできてね(^_-)☆
@_ayumu おかえり〜(^-^)/。外で朝食食べるの好きだから、私もいつかそのホテル行ってみたい！
@tetsuo14 初めまして。怪我、ビックリしました。どうかお大事にして下さいね。早く回復しますように！
ボスが仕事休んでいいというのでお言葉に甘えて休むことに。こちらは午後からひどくなる見込み。現時点JRは全線運転見合わせ。気をつけて！
@tetsuo14 お疲れさまです。サンデーモーニング観ています。頭、全くわからないですよ(o^-')b
震災以降初めて二階のマイルームで就寝。落ち着くような落ち着かないような。。。ちなみに、今までは一階の茶の間で寝ていました(^^;)。
東レパンパシテニス決勝、テレビで観戦中♪
またジャマ入る(-_-ﾒ)。。。私のハートが小さいのか？そうなんだろうな。。。
少し生き返った(^^;)
@alohameke はい、比べてずいぶん良くなりました(^^;)。
@_ayumu ただいま〜。眼精疲労と頭痛もあったのでツイッターはお休みしていたのだけど、ちょっと復活したよ！
珍しくショッピングという女子らしいことをしている(^^;)。スタバで休憩中なう。
@alohameke 一番の目的は果たせずでしたが(T_T)いい買い物ができました=3
@_ayumu カキ＝海のミルクってことで、栄養があるから良しにしよう(笑)。ちなみに私はカキの名産地に住んでいながら苦手〜(^^;)
@alohameke ホント、まだど真ん中(TOT)。あ、おはです。
マックで気合いを入れる！！！
@alohameke 体調は悪くないのですが忙しくて疲れ気味です(^^;)。ぞうがめさんも気をつけて〜。
@alohameke はい(^^;)ありがとうございます〜。
@_ayumu 首疲れてない(笑)？私はその頃すでに夢の中(^^;)そしておはよ〜(*^-^)ﾉ
本日の最高気温2度。さびー((((゜д゜;))))
@alohameke それが、風邪ひきました。もういやん(T_T)。。。
本日風邪のためダウンし自宅で養生中。只今のテレビ、フジとNHK以外は特別報道番組やってるよ(^^;)。すごっ。
@_ayumu wwwどころじゃないぞ〜(笑)
@_ayumu おはよ〜♪さすが、しっかり者だっ(^_-)b！
雨にも風にも財政難にも地震にも負けなかった本年の業務終了=3プチ打ち上げの1人コーヒー後はﾗｹｯﾄを受け取りにゼビオへ＆酔っ払いの父待ち(^^;)
@nhk_netgohan できるできる！
@nhk_netgohan みんな簡単そう！
ｽｰﾊﾟｰでﾄｲﾚに並んでいたら、ﾄｲﾚからおじさんが出てきた・・・。妙な風が吹きました(^^;)。
