@gokigen0558  まじか笑笑 明日午後頑張る〜😰😰😰
RT @momo17gd: BIGBANGが始まった瞬間晴れ！BIGBANGが終わりそうになったら雨！さすがBIGBANG！！
@TakeruTn  たけるくん！！ お誕生日おめでとう🎂🎈🎉 また電車とか試合で会えたらよろしくね！😆😆 いい1年にしてね〜❕❕
サントムーンに銀だこあるって 今初めて知ったwww
去年の冬 バス間違えて乗ってるの知らなくてバカみたいにいつ恋のマネして遊んでたのが懐かしい😢😢  また早く冬にならないかな〜☃ マフラーつけて遊びたいねさきちゃん🙆🙆💖💖
今更コーパスないことに気づいた。。。
@sa_cha_xxx  まじでオワタ。。。
@sa_cha_xxx  やったあ😆😆 お願いします。。。🙄🙄🙄
@Gaia829Gaia  がいあくん❕ お誕生日おめでとう🎂🎈🎉 いつもありがとう😆 これからも、マネ頑張るね✌️ ガイアくんもサッカー頑張れ👊 あにほともお幸せにね💑💖💖 いい1年を過ごしてね❕❕❕
@goose_0829  あべ先輩❕ お誕生日おめでとうございます🎂🎈🎉 いつも挨拶返してくれてありがとうございます〜😊✌️ いい1年にしてください😆😝
@Gaia829Gaia  いえいえ！ お返しです😆😆
タバコ大ッ嫌いだけど じよんさんのタバコ姿は大ッ好き
1105のびっばん 東京ドーム6枚も当選した😢💗💗 のに行けなくなって1枚余っちゃった。。。😭😭
@n_7_g_8  ほんとですか？！！😰😰😰 1枚譲りましょうか？？
@n_7_g_8  3連を2つとりました！
@n_7_g_8  まだ１回も外れたことないんですよ😆😆✌️ うわ。。。名古屋行きたいです。。 でも、名古屋だと部活の後間に合わないんですよ〜。😭😭😭
@n_7_g_8  絶対来ます！！笑笑 それも期待してます。。。 たぷさんそろそろ最後だと思うんで😢😢😢😢
夏休み🌞🌴最後はカラオケ🎤とラーメン食べいってきた😋👍💕 https://t.co/zZCv9SkQYA
結局課題やらなかった 誰がやってない人いますか😢😢
@n_7_g_8  そーなんですよね😆😚💖💖 あたしもです！想像するだけで鳥肌たってきます🙄🙄🙄😳
@_____nemui____  やっぱりね！！さえ絶対来ると思ったwwwm
@_____nemui____  そーそれww それを思い出してたww ひろよとりこもだっけ？笑笑
@_____neru____ @_____nemui____  コーパスと数学 全部だよ。。。数学とか謎過ぎて一人じゃできない。。。
RT @_____nemui____: @BB_SNSD_ ちょwwwwwwwwむりwwwwwwwwwwうちまで見えたwwwwwwwwwwwwww
@_____nemui____ @_____neru____  あたしもそーしよー笑 ひゃくにんいっしゅってなに笑 さっき知ったww
@_____nemui____  ほんとにあれは💩。。。
@_____neru____ @_____nemui____  だよね！？紙なんてないもんww 知らなかった笑笑
@_____neru____ @_____nemui____  知恵袋があるお💖💖💖💖
@_____nemui____ @_____neru____  知らなすぎる、まず百人一首って古文なの？でもこぶんってなに？
@_____neru____ @_____nemui____  ねえまってコーパスってどーやるの？
@nagumo449  爆笑😂😂ほんとそれおかしい😂 今日はラーメン大盛りとしょーくんの残りと餃子食べたよ😋😋笑
@_____neru____ @_____nemui____  ひろどーやってかいた？
@nagumo449  シューがゆってるとこ想像するだけでうける😂😂😂
@_____neru____ @_____nemui____  やば、しゅうごうなんちゃらかんちゃらみたいだねすごたんこわたん
@_____neru____ @_____nemui____  まってドアップでお願いします。 移したいです
@nagumo449  いや、ぱぱに笑うな気持ち悪いって言われたよ😑🙂
@_____nemui____ @_____neru____  だめじゃん てかこれ変なことしたら全部最初っからだから怖くててつけられない
@_____neru____ @_____nemui____  コーパス無くて何も出来ないww
@_____neru____ @_____nemui____  すっかり忘れてた。。。笑
@_____nemui____ @_____neru____  らしいよ！？！！たしかそんなことゆってたよ！
@nagumo449 😆😆😆😆😆😆
@_____neru____ @_____nemui____  さえちゃんびみょうだけど ひろちゃんいけるら
@_____neru____ @_____nemui____  それな 結局やらずに寝ます
RT @___CREAM_bot: Omarion - Post To Be / CREAM 🔊 https://t.co/aA4aFZiUeR
RT @_____nemui____: @BB_SNSD_ まじ羨ましすぎて泣く
@_____nemui____  ぷぷぷ😳🙏🙏 泣いちゃいやーん😚😚😚 RTありがとwww😊💗💗
RT @kkkannni17__: @BB_SNSD_  さんまいめの右下の写真 顔似てる気がする👫（笑）（笑）
@kkkannni17__  ほんと！？ほんと！？ほんと！？ 嬉しい！！！ （あ、でもあんなブスに似るのか。。。😋）
@_____nemui____  もう帰ってるよ💖💖
@kanami200082  にやけるよね😚😚😚😚 ほんとにあたしもにやけるもんwww
@kkkannni17__ @6xPZGo1ZPICg3ru  まじぶすだよね。。。
@kanami200082  ぷぷぷ🙈🙈 嬉しいなあ💖💖 ほんとよかったよ🙄🙄🙄❣️
あたしに課題は向いてなかったみたい もう寝る諦める なんとかなるよね☹️☹️☹️☹️
RT @mayu9231: 今から焼肉😋🍴 https://t.co/kXdllq5Nna
すぐ色んな友達に あの子気をつけた方がいいよとか言うの怖い。。。😰😰
@dragonb06325486  てつお誕生日おめでとう🎂🎈🎉
@8VMr6h7O6R5OG2X  ぺっぺこたおめでと😋😆❣️❣️❣️
@8VMr6h7O6R5OG2X  いえいえ😆💖 早いね😂😂
@m_u0903  みはや先輩 お誕生日おめでとうございます🎂🎁🎉👑💜 いつも挨拶返してくれてありがとうございます😭💗💗
RT @yuit_37: 帰りにあった人こわすぎ笑 きょうの演技力すごかった😂😂 @BB_SNSD_
@yuit_37  いやあ、ほんとに怖かったね😂😂😂😂
@m_u0903  いえいえ😆💖 いい１年にしてください😆💗💗
RT @modelpress: ローラ、極上ミニスカでCL（from 2NE1）と豪華コラボ「東京ガールズコレクション」開幕＜TGC2016 A／W＞ @RolaWorLD #TGC 【ほか写真あり】  https://t.co/uj4aJBKCBu https://t.co/…
RT @Sari88B: 韓国人の男性って本間にかっこいいことしてくる😳😳💗 https://t.co/h8OP4Lgpn7
@m_mrn0904  まりなちゃ〜ん😚💖 お誕生日おめでとう🎂🎈🎉 また会ったら飛んでゆくね話そうね🙄💗💗💗
RT @kor_celebrities: 「RED VELVET」、カムバック・ティーザー公開。イェリの「Russian Roulette」（ロシアンルーレット） https://t.co/s5e9J2i8MX
@m_mrn0904  いえいえ😆💗💗
RT @GRIBABY: #GD @ Macao FM  (cr logo) ❤️❤️❤️❤️ https://t.co/dXVA98geml
RT @Kpop30s_bot: miss A - 다른 남자 말고 너(Only You) https://t.co/sat2JTm0iz
RT @Kpop30s_bot: TWICE - Touchdown https://t.co/R3vGjnzXY7
今日は、 久しぶりに遊べた🙆💭💕 落ち着きすぎて眠くなる😪😪 髪の毛切ってていい感じ👍👍💗
たんこぶ痛すぎて寝れない。。。😑😑😑😑😑
RT @Kpop30s_bot: BIGBANG - MY HEAVEN https://t.co/fNps9p39yo
なんかせいせい見てると自分と重なりすぎて心痛い。。。😢😂😅
@tkd__59  おつかれん！！👋 歯！ピ！馬！😬💗💗💗💗 ちょくちょく会うね😋❕ この前分かんなかったけど😚😚 いい１年にしてくだしい💪🙈❣️
@O32i_s2_xxx  ことえ先輩おめでとうございます😆🙈💗 昨日すぐわからなくてすみません😭
#0911 部活終わってからいっそいでもえかさんと試合見に行ってきた👀⚽💗 その後久々家でゆっくり出来た👍😳 ミサンガ作って交換出来てよかった〜🙈❣️先週もたくさん帰れてよかった〜😝✌️✌️ https://t.co/LJMbtopbV9
RT @BB_SNSD_: 0816.三島大社🏮🍧🎆👘 2人で不器用なりに髪型頑張った✌️😊 楽しかった丸🙆❕ 謎4シリーズ増えて良き丸😊💗 色んな人に会えてよかった❕😳 あにほに会えなくて残念（かも）😰😣 それにひろちゃんが可愛いって褒めてくれるYO🤘😚❣️ https://…
顔に薬塗ったの忘れて 生クリームかと思っても舐めちゃった。。。くそまずい。。。死ぬ
バイバイした瞬間もう会いたい😢
@shappygirl321  だよねだよねーん👋👋 でも今日遊べて良かったじゃん😚😚💖🙈
@shappygirl321  今日、日大で暁秀練習試合だったよ⚽⚽ たっさん来てた？
@kkkannni17__  萌ちゃんおめでとう😳💗💗
@shappygirl321  なんだ〜笑
@kkkannni17__  いえいえ😆💖
@shappygirl321  なるへそ❕
グ、グンチャン。。。 お久しぶりです、イケメンです、
さいこうさいこうさいこう かっこいい。。 むりむりむりむり！！！！！ やばい。。。にやける。
RT @YGEXStaff: 【#BIGBANG】『BIGBANG SPECIAL EVENT -HAJIMARI NO SAYONARA-』 スペシャルファンイベント開催決定❗️▶️ https://t.co/jvpBPmutZ4 https://t.co/3IHSpQeaZD
YGさんはお金儲け上手だな。。。😑悔しいけど使っちゃう。。
どーしてもパフェ食べに行きたくなって部活で疲れてるのに食べに行ってくれた🙂幸せ満足🙂 わがまま聞いてくれてありがとうよ優男🙂🙂🙂🙂🙂🙂🙂🙂
@rikuto_0914xx  誕生日なの！おめでとう🎂🎁🎉👑 受験頑張れ❕恋愛も😏😏
@n5lgt_8a  おめでとうございます😳💖
RT @Lean011O: 心から宮沢さんを抱きしめてあげたい（ ;  ; ） 最後までどんだけいい男なの…  #せいせいするほど愛してる  #宮沢さん https://t.co/71ijSBo86K
まま強いwwwww びっばんの１時間で1万するペンミ3人分躊躇しないで頼んでるwwww 金使い荒すぎて心配になる。。。
@94_exactM  も〜残念すぎますね😭😭😭
@_____nemui____  まってさえやせてるwww
@reina20001128g1  綺麗に書いても汚いから大丈夫だよ💗😚😚😚 うん、あの四角が三コネ(((o(*ﾟ▽ﾟ*)o)))
@_____nemui____  うんww 腕細いw顔ちっちゃい！！
@94_exactM  ほんとですよ〜。ネクタイの予定が😭
@0916Kyatto  すずな〜😳💖 お誕生日おめでとう🎂🎁🎉👑💜
やっと予定があった🗓✨ 誕生日ってことで お寿司連れてってくれてmacのリップくれた🙄🍣💗 ごちそうさまでした😋🙈✌️ ありがとう🙏❣️❣️ #MAC #macリップ #すし… https://t.co/5lyONRyHrh
しゃらおはいつまでもあたしの愛人だ。。。🙄💗🙆💭💕
RT @Z_K_POON_: 水原希子が小松菜奈のフォロー外したことが怖すぎて仕方ない
RT @sdt_megami: 【95回高校サッカー選手権・静岡県大会】本日、三島南二日町グラウンドで行われた「小山－伊豆総合」のハイライト映像を配信！（サッカー情報サイト・KICKOFF）https://t.co/tkXEAdTqW9 https://t.co/9IVPU1w…
サッカー部の1年生と 浜寿司行ってきた🍣🍣 笑った笑った😂😂😂美味しかった😋😋👍#instalike #instagood #すし #サッカー部 #⚽ https://t.co/Pcr0iKVtSk
@miho120807  バカ騒いだよ。。。笑笑 え！なんてゆってる声！？ww
@miho120807  それ、ユーホーキャッチャーでとった時の叫び！！笑笑
@miho120807  そ〜そ〜！あと猫のキーホルダー！！笑  あら、恥ずかしい🙄😳😳💗
明日雨降りませんように😖😢🙏 \🌞🌞🌞🌞🌞🌞🌞🌞🌞🌞🌞/
#O919  #☀️☁️☔ #Sizuoka  ずーっと楽しみにしてた静岡😢 わがまま沢山きいてくれて🙄❣️ 変なｺﾄしかしてないけど(笑) やっぱり優男だった1日😏😋✌️ ほんとに楽しかった幸せ😳💭💕 ありがと〜う🙈❤️💛💚💙💜 https://t.co/y5aTtuMG27
#0919 #しょーくんと#静岡#デート#たのしかった #幸せ#スタバ #スイパラ #ペアルック #instagood #instalike https://t.co/ZiModrpPAV
. GD EAU DE TOILETTE （GDプロデュース） . #GD#gdragon #ジヨン#gdプロデュース香水 #GD香水 https://t.co/d9FeVogaZu
@miho120807  子供じゃないもんおとこだもん！！！！！！！😗😗😗笑 褒めて褒めて😏
5日前くらいに 学校でこのG-shockの時計が 移動教室の時に 無くなりました〜😭😭😭 落としただけかも知れないけど バックの中に入れたはずが無いのでなにか知ってる人いたら教えてください😢😢 拡散してくれると嬉しいです😖… https://t.co/cNm7XTikWL
RT @GOROUMRU: きょーちゃん 壊れた傘ありがと笑笑 ちゃんと家に持ち帰りました笑笑
@GOROUMRU  ワロワロワロwwwww 傘ありがとう🙏😂😂😂 持って帰ってどーした？笑
@GOROUMRU  絶対いらないでしょ！！笑
@BB_SNSD_  みんなペア可愛い可愛いって褒めてくれて余韻ぬけない。。本気で嬉しい照れる😧😳😳😳😳😳❤️ アーメンアーメン🔨🔨🔨🔨🔨
#mac #macリップ💄 #ピンク  #しゃらんが#誕プレで#くれたよ#😍😘 https://t.co/kx4a5irJGm
RT @BB_SNSD_: . GD EAU DE TOILETTE （GDプロデュース） . #GD#gdragon #ジヨン#gdプロデュース香水 #GD香水 https://t.co/d9FeVogaZu
RT @BB_SNSD_: #0919 #しょーくんと#静岡#デート#たのしかった #幸せ#スタバ #スイパラ #ペアルック #instagood #instalike https://t.co/ZiModrpPAV
@rinaaa100916  遅くなってごめん😢 お誕生日おめでとう😋❤️❤️
@GOROUMRU  捨ててよー！！！笑笑
RT @BB_SNSD_: 5日前くらいに 学校でこのG-shockの時計が 移動教室の時に 無くなりました〜😭😭😭 落としただけかも知れないけど バックの中に入れたはずが無いのでなにか知ってる人いたら教えてください😢😢 拡散してくれると嬉しいです😖  #拡散希望 https:…
@hiromi_0921  ひろみさーん！ お誕生日おめでとうございます🎂🎁🎉👑 これからも楽しくお喋りしてくださいね😂✌️✌️ サッカー⚽も頑張ってください！
@simako999  かなたちゃん！ お誕生日おめでとう🎂🎁🎉👑💕 マネ頑張ろうね🎌💪 また今度戦いたいね！笑 いい1年にしてね🙏😘❤️
@mitsuki000921  みつきちゃん！ お誕生日おめでとう🎊😍💎🍰 また会ったら写真とろ📷❣️ いい1年にしてね🙈❕
@mitsuki000921  さんってやめてよー！笑 それにいつも敬語！！😂😂😂 なんでー！笑笑
RT @nanashi_lie: 「僕は君を想って泣き、」 (全4ページ/無断転載×)   📝木曜日に彼女視点もあげれるかと…！ https://t.co/uHTyYg9u3V
RT @nanashi_lie: 「、私は君を想って笑う」 (全3ページ/無断転載×)  📝先日あげた彼氏視点のと合わせて読んでいただけると嬉しいです…！ https://t.co/1aXqI3qkfg
@MANAYA0922  お久しぶり！👋 お誕生日おめでとう😋🍰❕ 受験がんばってね😏😆✏
@simako999  わああああ、ありがとう😭🙏❣️
部活終わったあと⚽ ｢君の名は。｣見てきたよ🎥👫❣️ やっぱりしょーくんと映画見ると笑いすぎてなにも内容入ってこない。。。😂😂😂😂
RT @sc_atsu724: @masa11020016so2 まゆさんもえかさんきょうちゃんに会えたから😉
#BIGBANG#ビッベン#ViP#10 #アクセ#ハンドメイド#🐲🔝🌞👼🐼 https://t.co/P3WP9uk4y2
RT @___ohayo______: 今日は朝からみんなにどん底に突き落とされたけど嘘ってこと知って一瞬で幸せ感じた！よく叫んだ！
@___ohayo______  いやあ、たのしすぎた
@sei__pipi__1127  おめでとうございます🙈
RT @sa_cha_xxx: @BB_SNSD_   💜らぶらぶ 💜BIG BANG 💜いつもハイテンション
@sa_cha_xxx  あざす えぐい話したいわ
@amaomi8312  あまねんありがと！！！ ほんとに可愛い可愛いって照れる。。。😆😆😆 ありがと😍😋
#BIGBANG#ビッベン#ビッペン #live#ペンラ#👑 #🐲🔝🌞👼🐼 #instagood #instalike https://t.co/4elRWXBllg
#深夜のダメ恋図鑑  やっぱり好きだわ〜😂😂 めっちゃ面白いwwwww
はあむり〜 泣けてくる〜😢😢😢
山口れいなさんは あたしのせいで怒られたとかゆっちゃってるよ。。。😂😝😝😝 楽しかった😘😘😘😘✌️✌️✌️  @reina20001128g1
@sa_cha_xxx  それなああああ
RT @masa11020016so2: 楽しかったよ😉 https://t.co/NCQ52wUJRM
バイキング🍖🍫🍦🍽 誘ってくれてありがと❕🙏😆 笑った笑った😂💥💥 ❕⚽⚽⚽⚽⚽⚽⚽❕  #なぐもポーズ #サッカー部 https://t.co/cCKBf1tHei
