傑作w  結構写真撮ってる人居てたw https://t.co/bB392Fwuxv
━━━━━━━━━━━ 🌟賞金総額1000万円🌟 ━━━━━━━━━━━ 君は隠れたLINEキャラを見つけられる？！  1万人以上に最高💰 30万円 💰当たる💕  今すぐ探す👀💡 ⇒ https://t.co/valEQHCZXS #LINEバイト
前髪ええ感じ https://t.co/AzlwbqDQP0
@yayoiboshi  金髪似合ってます🎵
@Teruma3 新宮に居てたら聴けたのに😣💦 支局もスマホで聴けるようになって欲しいです😃
嵐にしやがれで  弟の仕事場 プラム工房の梅をきゃりーぱみゅぱみゅが食べてた！ https://t.co/zImoPSpivt
@Teruma3  マラソンお疲れ様でした🎵 完走おめでとうございます🎵
@Teruma3  お疲れ様でした✨
クリスマスだね https://t.co/E7AieXpFjT
RT @LINEfortune: 大人気『ほろにがーる』× #トーク占い のコラボマンガを無料公開中！  ★スマホで読む⇒ https://t.co/T9LHGqPqEp  そして！このツイートをRT（リツイート）＆フォローで10名様に1万円分の旅行券をプレゼント！キュンとする…
@Teruma3  さらにイケメンに😃
健くんの長野くん狙ってた発言ウケた(笑)  本当に御結婚おめでとうございます♪ #ベストアーティスト
@Teruma3  めっちゃ綺麗なところですね✨ 行ってみたい🎵
@Teruma3  お誕生日おめでとうございます🎂🎉
@Teruma3  風邪引かないように気を付けて行ってきて下さいね🎵
@Teruma3  おはようございます☀ 丸ちゃんの前向きな姿勢にあたしも背中押されます🎵 寒くなってきますが体調壊さないように❕です🎵
@Teruma3  木曜日聴いときます♪
@Teruma3  和歌山放送でうちのCM入る時間帯なのでバッチリ聴きてるので楽しみにしてます♪
@Teruma3  音楽を聴いて熟成されてるから 丸ちゃんにぴったりですね😃
@Teruma3  熟成された丸ちゃん♪(〃ω〃) 更にイケメンに！😍
@Teruma3  めっちゃ聴きたいのに聴けない😭 去年だったら毎週新宮行ってたのに😭
RT @shimamura_gr: 毎日チャレンジ🎌 1,000円分の #しまむら グループ共通商品券を1,000名様にプレゼント🎁 応募はとっても簡単🎅❗🎄 ①しまむら公式アカウントをフォロー ②本投稿をリツイート ③しまうさサンタから結果がすぐに届くよ(°∞°)  #しまむ…
RT @Teruma3: 新しきポスターが出来たらぞよ！！ https://t.co/9ztPCNBjEN
@Teruma3  イケてるぞよ！
@yuuyakemegami @Teruma3  あたしも聴いてたー📻 フォーティーツーかよんじゅうに か どっち？てなった(笑) 国道42号線なら 42かなぁと思ったり🚗
